,word,reading,meaning
7544,国営,こくえい,1. government management; state management$
7545,金銭,きんせん,1. money; cash$
7546,院長,いんちょう,1. director$
7547,一斉,いっせい,1. simultaneous; all at once$
7548,早川,はやかわ,1. Hayakawa$
7549,キエフ,キエフ,1. Kiev (Ukraine); Kyiv$2. Kiev (Ukraine)$3. Kiev$
7550,常務,じょうむ,1. managing director; executive director$2. routine business; regular business$
7551,トロント,トロント,1. Toronto$2. Toronto (Canada)$3. Toronto$
7552,秩父,ちちぶ,1. Chichibu$
7553,進撃,しんげき,1. advance; charge$
7554,我が,わが,1. my; our; one's own$
7555,元気,げんき,1. lively; full of spirit; energetic; vigorous; vital; spirited$2. healthy; well; fit; in good health$
7556,元気,げんき,1. Genki$
7557,苦戦,くせん,1. hard fight; close game; struggle; tight contest$
7558,禅,ぜん,1. dhyana (profound meditation)$2. Zen (Buddhism)$3. Zen$
7559,禅,ぜん,1. Zen$
7560,側近,そっきん,1. close associate; close aide; brains-truster$
7561,永遠,えいえん,1. eternity; perpetuity; permanence; immortality$2. Eternity$
7562,永遠,えいえん,1. Eien$
7563,イラストレーター,イラストレタ,1. illustrator$2. Illustrator$
7564,進水,しんすい,1. (ship's) launching$
7565,林檎,りんご,1. apple (fruit)$2. apple tree (Malus pumila)$3. Apple$
7566,林檎,りんご,1. Ringo$
7567,進軍,しんぐん,1. march; advance$
7568,義務付ける,ぎむづける,1. to obligate; to make compulsory; to require; to mandate$
7569,三好,みよし,1. Miyoshi$
7570,オルガン,ルガン,1. organ (musical instrument)$2. Organ (music)$
7571,半数,はんすう,1. half the number$2. haploid$
7572,珍,ちん,1. rare$2. strange; odd; peculiar; curious$
7573,珍,めずらし,1. Mezurashi$
7574,授ける,さずける,1. to grant; to give; to confer; to award$2. to teach; to instruct; to impart (knowledge)$
7575,景気,けいき,1. business conditions; the market; economic activity; economic climate$2. good (economic) times; prosperity; boom$3. liveliness; energy; vigour; vigor; spirit$
7576,オーディオ,デ,1. audio$2. audio equipment (esp. high-end)$
7577,功労,こうろう,1. meritorious deed; services$
7578,不在,ふざい,1. absence$2. disregard; indifference$
7579,告白,こくはく,1. confession; acknowledgement; acknowledgment$2. profession of love$3. confession of sins (e.g. the confessional)$
7580,大関,おおぜき,1. ōzeki (second highest rank in sumo)$
7581,大関,おおぜき,1. Oozeki$
7582,弘前,ひろさき,1. Hirosaki$
7583,一角,いっかく,1. corner; section; point; part$2. one horn$3. narwhal (Monodon monoceros)$4. Narwhal$
7584,一角,ひとかど,1. a cut above the rest; superior; respectable; full-fledged; something uncommon$2. one field; one matter$3. suitably; reasonably$
7585,集積,しゅうせき,1. accumulation$
7586,ベンチ,ベンチ,1. bench$2. Bench (furniture)$
7587,アイランド,アイランド,1. island$
7588,ポンプ,ポンプ,1. pump$2. Pump$
7589,爪,つめ,"1. nail (e.g. fingernail, toenail); claw; talon; hoof$2. plectrum; pick$3. hook; clasp$4. Nail (anatomy)$"
7590,王女,おうじょ,1. princess$
7591,副,ふく,1. assistant; associate; vice-; sub-; deputy; substitute; auxiliary; supplementary; additional; collateral$2. duplicate; copy$3. adverb$
7592,桜井,さくらい,1. Sakurai$
7593,降水,こうすい,1. rainfall; precipitation$2. Precipitation (meteorology)$
7594,線形,せんけい,1. linear$
7595,チケット,チケト,1. ticket$
7596,決着,けっちゃく,1. conclusion; decision; end; settlement$
7597,ターゲット,タゲト,1. target$2. Target$
7598,生える,はえる,1. to grow; to spring up; to sprout$2. to cut (teeth)$
7599,営利,えいり,1. money-making; commercialized; commercialised$
7600,透明,とうめい,1. transparent; clear$2. Transparency and translucency$
7601,主翼,しゅよく,"1. main wings (of an aeroplane, airplane)$"
7602,乏しい,とぼしい,1. meagre; meager; scarce; limited; destitute; hard up; lacking; scanty; poor$
7603,手伝う,てつだう,1. to help; to assist; to aid$2. to contribute to; to be a factor in$
7604,天才,てんさい,1. genius; prodigy; natural gift$2. Genius$
7605,司祭,しさい,1. priest; minister; pastor$2. Priest$
7606,陣地,じんち,1. encampment; position$
7607,駿河,するが,1. Suruga$
7608,連ねる,つらねる,"1. to line up; to put in a row$2. to add (to a group); to accept (as a member of an organization, etc.); to join (e.g. a list)$3. to link; to put together; to string together (e.g. compliments); to enumerate$4. to take along with; to bring with$"
7609,引き分ける,ひきわける,1. to pull apart; to separate$2. to draw; to tie (a game)$
7610,工程,こうてい,1. process; operation; stage of a process; progress of work$
7611,体力,たいりょく,"1. stamina; endurance; physical strength; resilience; resistance to disease$2. strength of an organization (e.g. profitability, productivity, economic clout, stability, growth potential)$3. Physical strength$"
7612,正統,せいとう,1. legitimate; orthodox; traditional$
7613,正統,せいとう,1. Seitou$
7614,マスコット,マスコト,1. mascot$2. Mascot$
7615,ポルノ,ポルノ,1. pornography$
7616,池袋,いけぶくろ,1. Ikebukuro$
7617,央,おう,1. middle; centre; center$
7618,央,ひさし,1. Hisashi$
7619,志す,こころざす,1. to plan; to intend; to aspire to; to set aims (sights on)$
7620,教団,きょうだん,1. religious organization; religious organisation$
7621,スロバキア,スロバキア,1. Slovakia$2. Slovak (Republic); Slovenska$3. Slovakia$
7622,洞窟,どうくつ,1. cavern; cave; cave system; grotto$2. Doukutsu$3. Cave$
7623,カントリー,カントリ,1. country; countryside$2. country; country and western$3. country; nation$
7624,スタンダード,スタンダド,1. standard$2. Standard$
7625,ドッグ,ドグ,1. dog$2. andiron$
7626,倉敷,くらしき,1. storage charges$
7627,倉敷,くらしき,1. Kurashiki$
7628,鞍,くら,1. saddle$2. Saddle$
7629,鞍,くら,1. Kura$
7630,同行,どうぎょう,1. fellow pilgrim; fellow practicer of austerities$
7631,同行,どうこう,1. accompanying; travelling together; traveling together$2. same bank$
7632,哺乳,ほにゅう,1. lactation; suckling; mammal$
7633,克,かつ,1. Katsu$
7634,特色,とくしょく,1. characteristic; feature; idiosyncrasy; personal colour$2. spot color (in printing)$
7635,築城,ちくじょう,1. castle construction; building a castle; fortification$
7636,築城,ちくじょう,1. Chikujou$
7637,総統,そうとう,1. supreme ruler; generalissimo$2. president (of Taiwan)$3. fuhrer; fuehrer$4. Führer$
7638,総統,そうとう,1. Soutou$
7639,真実,しんじつ,1. truth; reality$2. truly; really$3. absolute truth$
7640,真実,しんじつ,1. Shinjitsu$
7641,収,おさむ,1. Osamu$
7642,基幹,きかん,1. mainstay; nucleus; key$
7643,中毒,ちゅうどく,1. poisoning$2. addiction$
7644,侵害,しんがい,1. infringement; violation; invasion; encroachment; trespass$
7645,初日,しょにち,1. first day; opening day$
7646,初日,はつひ,1. New Year's Day sunrise$
7647,アップル,アプル,1. apple$2. Apple (computer company)$3. Apple (computer company)$
7648,モーツァルト,モツルト,1. Mozart$
7649,平地,ひらち,1. level ground; plain; flatland$
7650,平地,ひらち,1. Hirachi$
7651,ダンサー,ダンサ,1. dancer$
7652,津田,つだ,1. Tsuda$
7653,三田,みた,1. Mita$
7654,鷲,わし,1. eagle (Accipitridae family)$2. Eagle$
7655,鷲,わし,1. Washi$
7656,パレスチナ,パレスチナ,1. Palestine$2. Palestina$3. Palestine$
7657,股,また,"1. crotch; crutch; groin; thigh$2. fork (in a tree, road, river, etc.); tines (of a fork)$"
7658,股,もも,1. thigh$2. femoral$
7659,造営,ぞうえい,"1. building (a temple, palace, etc.); construction; erection$"
7660,無理,むり,"1. unreasonable; unnatural; unjustifiable$2. impossible$3. forcible; forced; compulsory$4. excessive (work, etc.); immoderate$5. to work too hard; to try too hard$6. no way; not a chance; never; dream on$7. irrational$"
7661,無理,むり,1. Muri$
7662,振る舞う,ふるまう,1. to behave; to conduct oneself$2. to entertain; to treat someone (to a drink); to make tea for someone (tea ceremony)$
7663,ユニバーサル,ユニバサル,1. universal$2. Universal$3. Universal$
7664,桑,くわ,1. mulberry (tree)$
7665,桑,くわ,1. Kuwa$
7666,歩道,ほどう,1. footpath; walkway; sidewalk$2. Sidewalk$
7667,直営,ちょくえい,1. direct management$
7668,パチンコ,パチンコ,1. pachinko; mechanical gambling game superficially resembling pinball$2. slingshot; catapult$3. pistol$4. Pachinko$
7669,死体,したい,1. dead body; corpse; cadaver; carcass$2. Cadaver$
7670,コロラド,コロラド,1. Colorado$2. Colorado$
7671,標本,ひょうほん,1. example; specimen; sample$
7672,亡くす,なくす,"1. to lose (through death) (e.g. wife, child)$"
7673,刑法,けいほう,1. criminal law; penal code$2. Criminal law$
7674,蝉,せみ,1. cicada; locust$2. small-sized pulley$3. Cicada$
7675,蝉,せみ,1. Semi$
7676,蝋,ろう,1. wax$2. Wax$
7677,海苔,のり,"1. nori; laver; edible seaweed, usu. Porphyra yezoensis or P. tenera, usu. dried and pressed into sheets$2. Nori$"
7678,海苔,のり,1. Nori$
7679,友達,ともだち,1. friend; companion$
7680,後日,ごじつ,1. in the future; another day; later$
7681,後日,ごじつ,1. Gojitsu$
7682,商船,しょうせん,1. merchant ship$
7683,布告,ふこく,1. edict; ordinance; proclamation$
7684,見送る,みおくる,"1. to see someone off (at a station, an airport, etc.); to escort (e.g. home)$2. to follow something with one's eyes until it is out of sight$3. to let pass; to pass up (an opportunity etc.); to let a pitch go by (baseball); to watch a batted ball go into the stands$4. to shelve (a plan, deliberation on a bill, etc.); to postpone$5. to have someone related or close to you die; to bury someone$6. to take care of somebody until he dies$7. to wait and see; to continue (e.g. in legal contexts)$"
7685,サスペンション,サスペンション,1. suspension (usu. vehicle)$2. Suspension (vehicle)$
7686,講和,こうわ,1. reconciliation (between warring nations); (making of) peace$
7687,楽天,らくてん,1. optimism$2. Rakuten$
7688,楽天,らくてん,1. Rakuten; Rakuten (Japanese Internet and information conglomerate)$
7689,変遷,へんせん,1. change; transition; vicissitudes$
7690,属性,ぞくせい,1. attribute; property; context; element$
7691,先駆,せんく,1. forerunner; pioneer; precursor$2. herald$3. outrider; pilot car$
7692,難民,なんみん,"1. refugee; displaced person$2. person inconvenienced by (lack of something); person unable to satisfactorily (marry, shop, etc.)$3. Refugee$"
7693,単体,たんたい,1. simple substance (e.g. chemical)$2. something standing alone; separate item; solo item$
7694,他人,たにん,1. another person; other people; others$2. unrelated person (i.e. not related by blood)$3. outsider; stranger$
7695,他人,たにん,1. Tanin$
7696,リアル,リアル,1. real; realistic; true to life$2. serious; non-joking; earnest$3. realtime blog$4. real world (cf. online games or social networking services)$5. Real$
7697,リアル,リアル,1. rial (currency); riyal$
7698,辺境,へんきょう,1. remote region; frontier (district); border(land)$
7699,湾岸,わんがん,1. gulf coast; bay coast$
7700,難易,なんい,1. difficulty; relative difficulty$
7701,適合,てきごう,1. conformity; compatibility; adaptability; congruity; congruence$
7702,ソフトバンク,ソフトバンク,1. SoftBank (Japanese telecommunications company)$2. SoftBank$
7703,ラッセル,ラセル,1. (Russell) snowplow; track-clearing vehicle$2. carving a trail through deep snow (by foot when mountaineering)$3. Russell$
7704,木製,もくせい,1. wooden; made of wood$
7705,後輩,こうはい,"1. junior (at work, school, etc.); younger people; younger student$"
7706,高麗,こうらい,1. Goryeo (dynasty of Korea; 918-1392 CE)$2. Korea (esp. the Goguryeo kingdom or the Goryeo dynasty)$3. (stone) guardian lion-dogs at Shinto shrine$4. Goryeo$
7707,高麗,こうらい,1. Kourai$
7708,有権者,ゆうけんしゃ,1. voter; constituent; (electoral) franchise-holder; (the) electorate; eligible voters$
7709,測量,そくりょう,1. measurement; surveying$2. Surveying$
7710,隈,くま,1. corner; nook; recess$2. shadow; shade$3. dark circles (e.g. around one's eyes)$
7711,隈,くま,1. Kuma$
7712,拒絶,きょぜつ,1. refusal; rejection$
7713,ハンター,ハンタ,1. hunter$
7714,正解,せいかい,"1. correct; right; correct interpretation (answer, solution)$"
7715,東亜,とうあ,1. East Asia; the Orient$
7716,東亜,とうあ,1. Toua$
7717,管制,かんせい,1. control$
7718,乗り出す,のりだす,1. to set out; to set sail$2. to embark on (a new venture); to set out (to achieve something)$3. to begin to ride$4. to lean forward$
7719,和泉,いずみ,1. Izumi$
7720,今川,いまがわ,1. Imagawa$
7721,王室,おうしつ,1. royal family$2. Royal family$
7722,食堂,しょくどう,1. dining room; dining hall; cafeteria; messroom$2. restaurant; eatery; snack bar; diner$3. Dining room$
7723,食堂,じきどう,1. dining hall (at a temple)$
7724,食堂,しょくどう,1. Shokudou$
7725,至,し,1. to ...$
7726,喪,も,1. mourning$2. Mourning$
7727,町田,まちだ,1. Machida$
7728,生前,せいぜん,1. while alive; during one's lifetime$
7729,切符,きっぷ,1. ticket$2. Ticket$
7730,切符,きっぷ,1. Kippu$
7731,操,みさお,1. fidelity; honour; honor; constancy$2. chastity (of a woman); faithfulness (e.g. to one's husband)$
7732,操,みさお,1. Misao$
7733,官房,かんぼう,1. government secretariat$
7734,王家,おうけ,1. royal family$
7735,緊張,きんちょう,1. tension; mental strain; nervousness$
7736,花火,はなび,1. fireworks$2. Fireworks$
7737,花火,はなび,1. Hanabi$
7738,始発,しはつ,"1. first departure (of the day: train, bus, etc.); first train; first bus$2. departing one's home station (of a train, bus, etc.)$"
7739,教官,きょうかん,1. teacher; instructor; professor$
7740,葛籠,つづら,1. wicker clothes hamper$
7741,葛籠,つづろ,1. Tsudzuro$
7742,辞典,じてん,1. dictionary; lexicon$2. Dictionary$
7743,軍部,ぐんぶ,1. military authorities; army circles$
7744,浜田,はまだ,1. Hamada$
7745,反面,はんめん,1. on the other hand; opposite side; reverse$
7746,代謝,たいしゃ,1. metabolism$2. renewal; regeneration; replacing the old with the new$3. Metabolism$
7747,外伝,がいでん,1. supplementary biography$2. anecdote; side story; spin-off$3. Gaiden$
7748,出家,しゅっけ,1. entering the priesthood$2. priest; monk; bonze$3. Pabbajja$
7749,好調,こうちょう,1. favourable; favorable; promising; satisfactory; in good shape$
7750,今井,いまい,1. Imai$
7751,豪華,ごうか,1. wonderful; gorgeous; splendor; splendour; pomp; extravagance$
7752,階層,かいそう,1. class; level; stratum; layer; hierarchy$
7753,オリックス,リクス,"1. oryx (esp. the gemsbok, Oryx gazella)$2. Orix (Japanese finance conglomerate)$"
7754,大江,おおえ,1. Ooe$
7755,再会,さいかい,1. another meeting; meeting again; reunion$
7756,原始,げんし,1. origin; beginning; genesis$2. primeval; primordial; primitive$
7757,原始,げんし,1. Genshi$
7758,蓄積,ちくせき,1. accumulation; accumulate; store$
7759,農学,のうがく,1. (science of) agriculture$2. Agronomy$
7760,膨大,ぼうだい,1. huge; vast; enormous; colossal; extensive; large$2. swelling; expansion$
7761,ライオン,ライン,1. lion (Panthera leo)$2. Lion$
7762,諸説,しょせつ,1. various opinions; various theories$2. various rumors (rumours)$
7763,ため,ため,"1. the same (age, social status); peer$"
7764,下野,げや,1. retirement from public office$2. going into opposition; losing power$
7765,下野,しもつけ,1. Japanese spirea (Spiraea Japonica)$2. Spiraea japonica$
7766,バイト,バイト,1. work (esp. part time or casual)$2. byte; octet$3. bite$4. cutting tool; bit$
7767,配す,はいす,"1. to distribute; to arrange; to allot (to a position of authority, etc.)$2. to arrange; to lay out (as in decorating)$3. to marry off$4. to exile; to banish$"
7768,常磐,ときわ,1. Tokiwa$
7769,号する,ごうする,1. to name; to take a second name or alias$2. to announce; to boast; to declare$
7770,旅館,りょかん,"1. ryokan; traditional inn; Japanese-style lodging, usu. professionally-run$2. Ryokan (Japanese inn)$"
7771,ルノー,ルノ,1. Renault$
7772,世間,せけん,1. world; society; people; the public$2. Loka$
7773,シネマ,シネマ,1. cinema$2. Cinema$
7774,佐竹,さたけ,1. Satake$
7775,不全,ふぜん,1. partial; incomplete; imperfect$
7776,コラボレーション,コラボレション,1. collaboration$
7777,無関係,むかんけい,1. unrelated$
7778,魔女,まじょ,1. witch$
7779,石垣,いしがき,1. stone wall$2. Stone wall$
7780,石垣,いしがき,1. Ishigaki$
7781,中尉,ちゅうい,1. first lieutenant; lieutenant junior grade$2. Lieutenant$
7782,上限,じょうげん,1. upper limit$2. supremum$
7783,原発,げんぱつ,1. nuclear power plant; nuclear power generation$2. primary (e.g. primary immunodeficiency syndrome)$
7784,確か,たしか,1. sure; certain; positive; definite$2. reliable; trustworthy; safe; sound; firm; accurate; correct; exact$3. If I'm not mistaken; If I remember correctly; If I remember rightly$
7785,諸侯,しょこう,1. princes; lords$2. Vassal state$
7786,爆破,ばくは,1. destructive blast; blowing up; explosion$
7787,白石,しろいし,1. white stone$2. white (go pieces)$3. Shiroishi$
7788,白石,しらいし,1. Shiraishi$
7789,世論,よろん,1. public opinion; popular voice; public sentiment; consensus$2. Public opinion$
7790,挨拶,あいさつ,"1. greeting; greetings; salutation; salute; polite set phrase used when meeting or parting from somebody$2. polite set phrase used to express apology, sympathy, congratulations, etc.$3. speech (congratulatory or appreciative); address$4. reply; response$5. revenge; retaliation$6. a fine thing to say$7. dialoging (with another Zen practitioner to ascertain their level of enlightenment)$8. relationship (between people); connection$9. intervention; mediation; mediator$10. Greeting$"
7791,咲く,さく,1. to bloom$
7792,崩す,くずす,1. to destroy; to demolish; to pull down; to tear down; to level$2. to disturb; to put into disorder; to throw off balance; to make shaky$3. to relax (one's pose); to make oneself at ease$4. to break (a bill); to change; to make change$5. to write in cursive style; to write in running style$6. to break into a smile; to let off a smile$7. to lower (a price)$
7793,陰謀,いんぼう,1. plot; intrigue; scheme$2. conspiracy; agreement between two or more people to commit an unlawful act$
7794,奪還,だっかん,1. recovery; rescue; recapture$
7795,ボランティア,ボランテア,1. volunteer$2. Volunteering$
7796,増刊,ぞうかん,"1. special issue (of a magazine, etc.); issuing an extra number$"
7797,別々,べつべつ,1. separately; individually$
7798,高島,たかしま,1. Takashima$
7799,勤,つとむ,1. Tsutomu$
7800,大砲,たいほう,1. gun; cannon; artillery$2. Artillery$
7801,正に,まさに,1. exactly; surely; certainly; just$2. right then; just then; at that moment$3. just (about to); on the verge (of doing or happening)$4. duly; naturally$
7802,回想,かいそう,1. recollection; retrospection; reflection; reminiscence$
7803,キット,キト,1. kit$
7804,恐竜,きょうりゅう,1. dinosaur$2. Dinosaur$
7805,掛,かけ,1. Kake$
7806,安芸,あき,1. former name of Hiroshima prefecture$
7807,安芸,あき,1. Aki$
7808,塩基,えんき,1. base$2. Base (chemistry)$
7809,ゴジラ,ゴジラ,1. Godzilla$
7810,西海,にしうみ,1. Nishiumi$
7811,異名,いみょう,1. another name; nickname; alias$2. synonym (taxonomy)$
7812,シニア,シニア,1. senior$
7813,エレクトリック,エレクトリク,1. electric$2. EleKtrik: Live in Japan$
7814,徴収,ちょうしゅう,"1. collection (of fees, taxes, etc.); levy$"
7815,次長,じちょう,1. vice-chief; vice-director; assistant director; deputy manager$
7816,宮本,みやもと,1. Miyamoto$
7817,種子,しゅし,1. seed; pit$2. Seed$
7818,病死,びょうし,1. death from disease; death from illness$
7819,扇,おうぎ,1. folding fan$
7820,扇,おうぎ,1. Ougi$
7821,大洋,たいよう,1. ocean$2. Ocean$
7822,大洋,たいよう,1. Taiyou$
7823,右手,みぎて,1. right hand$2. right-hand side; right-hand direction; (on) the right$
7824,右手,みぎて,1. Migite$
7825,家屋,かおく,1. house; building$2. House$
7826,ラップ,ラプ,1. cling film; plastic wrap; cling wrap$2. wrapping (something up)$3. Rapping$
7827,ラップ,ラプ,1. rap; rap music$
7828,ラップ,ラプ,"1. lap (of stadium, pool, etc.)$2. lap time$3. lap; finishing tool$"
7829,アムステルダム,アムステルダム,1. Amsterdam (Netherlands)$2. Amsterdam (The Netherlands)$3. Amsterdam$
7830,戯曲,ぎきょく,1. play; drama$2. Play (theatre)$
7831,日時,にちじ,1. date and time$
7832,木曽,きそ,1. Kiso$
7833,阿波,あわ,1. Awa$
7834,突く,つく,"1. to prick; to stab$2. to poke; to prod; to push; to thrust; to nudge; to hit; to strike$3. to use (a cane); to prop oneself up with; to press against (the floor, etc.)$4. to attack$5. to brave (the rain, etc.)$"
7835,突く,つつく,"1. to poke (repeatedly, lightly); to nudge$2. to peck at (one's food); to pick at$3. to peck at (someone's faults, etc.)$4. to egg on; to put up to$"
7836,自立,じりつ,1. independence; self-reliance$
7837,積分,せきぶん,1. integration$2. integral$
7838,特権,とっけん,1. privilege; special right$
7839,同性愛,どうせいあい,1. homosexual love$2. Homosexuality$
7840,インストール,インストル,1. installation (esp. software)$2. Installation (computer programs)$
7841,ホラー,ホラ,1. horror$2. Horror$
7842,ドール,ドル,1. doll$2. dhole (Cuon alpinus); Indian wild dog$3. Dole (France); Dall; Doelle; Dor$4. Dhole$
7843,振るう,ふるう,"1. to swing; to wield (physically); to exert$2. to exercise (e.g. power, ability); to exhibit; to display; to wield (metaphorically)$3. to flourish; to prosper; to thrive$"
7844,廟,びょう,1. mausoleum$2. shrine$3. the (imperial) court$4. Mausoleum$
7845,真空,しんくう,1. vacuum; hollow; empty$2. Vacuum$
7846,追求,ついきゅう,"1. pursuit (of a goal, ideal, etc.); search; chase; seeking after$"
7847,クイーン,クイン,1. queen$2. Queen$
7848,容器,ようき,1. container; receptacle; vessel; packaging$
7849,調,ちょう,"1. pitch; tone; key$2. time; tempo$3. mood; tendency; style$4. tax paid in kind (ritsuryo period); first a tax on rice fields and households, then on individuals$5. Key (music)$"
7850,調,しらべ,1. Shirabe$
7851,対岸,たいがん,1. opposite shore$
7852,リトル,リトル,1. little$2. Little$
7853,商事,しょうじ,1. commercial affairs$
7854,遅延,ちえん,1. delay; latency$
7855,薫,くん,1. pleasant smell; aroma; fragrance; scent$2. pleasant-smelling vegetation$
7856,薫,かおる,1. Kaoru$
7857,加えて,くわえて,1. additionally; in addition; moreover; at the same time$
7858,ローン,ロン,1. loan$2. roan$3. lawn (i.e. short grass)$4. lawn (type of cotton cloth)$5. Rhoon; Lone; Loon; Roane; Roon$
7859,摂政,せっしょう,1. regency; regent$2. Regency (government)$
7860,摂政,せっせい,1. advisor (to the Ryukyuan King)$
7861,フィルター,フルタ,1. filter (esp. camera)$2. Filter$
7862,実に,じつに,1. indeed; really; absolutely; truly; actually; very; quite$
7863,遠藤,えんどう,1. Endou$
7864,庸,よう,1. tax paid to avoid forced labor (ritsuryo period)$
7865,庸,いさお,1. Isao$
7866,本質,ほんしつ,1. essence; true nature; substance; reality$2. Essence$
7867,講習,こうしゅう,1. short course; training$
7868,郷土,きょうど,1. native place; birth-place; one's old home$2. province; region; locality$
7869,諸,しょ,1. various; many; several$
7870,諸,もろ,1. both$2. many; various; all$3. together$4. Moro people$
7871,諸,しょ,1. Sho$
7872,水面,すいめん,1. water's surface$2. Surface water$
7873,没収,ぼっしゅう,1. forfeiture; seizure; confiscation; impounding$2. Confiscation$
7874,寄贈,きぞう,1. donation; presentation; gift$
7875,実証,じっしょう,1. demonstration; verification; substantiation; actual proof$
7876,何とか,なんとか,1. something; something or other; so-and-so$2. somehow; anyhow; one way or another$
7877,ホスト,ホスト,"1. host (of a party, summit, etc.)$2. host (of male host club)$3. Host$"
7878,公衆,こうしゅう,1. the public; general public$
7879,吸う,すう,1. to smoke; to breathe in; to inhale$2. to suck; to sip; to slurp$3. to absorb; to soak up$4. to kiss$
7880,計測,けいそく,1. measuring; measurement$2. Instrumentation$
7881,炊く,たく,"1. to cook (grains, e.g. rice)$2. to boil; to simmer; to stew; to seethe$"
7882,代官,だいかん,"1. Edo-period prefectural governor (magistrate, bailiff)$2. Daikan$"
7883,是,ぜ,1. righteousness; justice; right$
7884,是,これ,1. Kore$
7885,遂行,すいこう,1. accomplishment; execution$
7886,童,わらべ,1. child$
7887,童,わらべ,1. Warabe$
7888,国体,こくたい,1. national polity$2. National Athletic Meet$3. Kokutai$4. Kokutai$
7889,ガーデン,ガデン,1. garden$
7890,西宮,にしのみや,1. Nishinomiya$
7891,修める,おさめる,1. to study; to complete (a course); to cultivate; to master$2. to order (one's life)$3. to repair (a fault one has committed)$
7892,内装,ないそう,1. interior design; interior; upholstery$
7893,喧嘩,けんか,1. quarrel; brawl; fight; squabble; scuffle; argument$2. Brawling (legal definition)$
7894,踏まえる,ふまえる,1. to be based on; to take into account; to build upon; to have origin in$2. to have one's feet firmly planted on; to plant oneself on$
7895,直列,ちょくれつ,1. series (e.g. electrical)$2. serial$
7896,グッズ,グズ,1. goods; promotional items$
7897,領事,りょうじ,1. consul$2. Consul (representative)$
7898,仮定,かてい,1. assumption; supposition; hypothesis$
7899,休刊,きゅうかん,1. suspension of publication$
7900,戦果,せんか,1. military gains; war results; fruit of battle$
7901,盗む,ぬすむ,1. to steal$
7902,甘い,あまい,1. sweet-tasting; sweet; sugary; sugared$2. fragrant (smelling); sweet (music)$3. lightly salted; light in salt; not spicy$4. naive; overly optimistic; soft on; generous; indulgent; easy-going; lenient$5. half-hearted; not finished properly$6. insufficient; not satisfactory; inadequate; loose$7. mild$8. tempting; enticing; luring$
7903,薬剤,やくざい,1. medicine; drug; chemical$
7904,報酬,ほうしゅう,1. remuneration; recompense; reward; toll$2. Remuneration$
7905,動脈,どうみゃく,1. artery$2. Artery$
7906,東口,ひがしぐち,1. east entrance$
7907,東口,ひがしぐち,1. Higashiguchi$
7908,焦点,しょうてん,1. focus (e.g. photographic); focal point$
7909,祖先,そせん,1. ancestor$
7910,マウント,マウント,1. mount$2. Mount$
7911,ファミコン,フミコン,1. (Nintendo) (abbr) Famicom (Family Computer) (equiv: NES)$
7912,炭,すみ,1. charcoal$2. charred remains$
7913,炭,たん,1. Tan$
7914,石器,せっき,1. stone implement (e.g. stone age arrowheads); stone tool$2. Stone tool$
7915,実務,じつむ,1. practical business; practical work experience; practicum; practice$
7916,貢,こう,1. tribute$
7917,貢,みつぎ,1. Mitsugi$
7918,被る,かぶる,"1. to put on (one's head); to wear; to have on; to pull over (one's head); to crown (oneself)$2. to be covered with (dust, snow, etc.); to pour (water, etc.) on oneself; to dash on oneself; to ship water$3. to bear (e.g. someone's debts, faults, etc.); to take (blame); to assume (responsibility); to shoulder (burden)$4. to overlap (e.g. sound or color)$5. to be similar; to be redundant$6. to be fogged (due to overexposure, etc.)$7. to close; to come to an end$8. to get a full house; to sell out$9. to blunder; to bungle; to fail$10. to be deceived$"
7919,被る,こうむる,"1. to suffer; to receive (kindness, rebuke, support); to sustain (damage)$"
7920,婦人,ふじん,1. woman; lady; adult female$
7921,秩序,ちつじょ,1. order; discipline; regularity; system; method$
7922,退学,たいがく,"1. dropping out of school; withdrawing from school$2. expulsion from school; dismissal$3. leaving school (university, etc.) after completing a course$4. Expulsion (education)$"
7923,鳩,はと,1. pigeon; dove$2. Columbidae$
7924,果,か,"1. phala (attained state, result)$2. enlightenment (as the fruits of one's Buddhist practice)$3. fruit$4. counter for pieces of fruit$"
7925,椎,しい,1. any beech tree of genus Castanopsis; chinquapin; chinkapin$2. Castanopsis$
7926,椎,しい,1. Shii$
7927,ギャラリー,ギャラリ,1. gallery; corridor$2. art gallery$3. upper gallery (in a theatre)$4. spectators (esp. at a golf tournament)$5. Gallery$
7928,親しい,したしい,1. close (e.g. friend); familiar; friendly; intimate$2. familiar (e.g. story); well-known (to one)$3. close (relatives); closely related$
7929,流派,りゅうは,1. school (e.g. of ikebana)$
7930,丹波,たんば,1. Tanba$
7931,吐く,つく,1. to breathe out; to breathe$2. to tell (a lie); to use (foul language)$3. to vomit; to throw up; to spit up$
7932,吐く,はく,1. to vomit; to throw up; to spit up$2. to emit; to send forth; to breathe out$3. to give (an opinion); to make (a comment); to express; to tell$4. to confess$
7933,任天堂,にんてんどう,1. Nintendo$2. Nintendo$
7934,婚約,こんやく,1. engagement; betrothal$2. Engagement$
7935,他方,たほう,1. one (esp. of two); the other; one way; the other way; one direction; the other direction; one side; the other side; one party; the other party$2. on the other hand$
7936,係,かかり,1. charge; duty; person in charge; official; clerk$2. connection; linking$
7937,係,がかり,1. charge; duty; person in charge; official; clerk$
7938,売買,ばいばい,"1. trade; buying and selling; trafficking (e.g. of humans, arms, drugs); dealing$2. Contract of sale$"
